axe,jeu,instance,variante,cout,visites,temps_total_s,nb_appels_api,temps_api_s
1_points_insertion,Sokoban,microban/niveau0_trivial,baseline,1,1,0.0,0,0.0
1_points_insertion,Sokoban,microban/niveau0_trivial,point1_departager,1,1,0.0,0,0.0
1_points_insertion,Sokoban,microban/niveau0_trivial,point2_heuristique_lot,1,1,7.119,2,7.118
1_points_insertion,Sokoban,microban/niveau0_trivial,point3_elaguer,1,1,2.685,1,2.684
1_points_insertion,Sokoban,microban/niveau1_facile,baseline,30,1088,0.057,0,0.0
1_points_insertion,Sokoban,microban/niveau1_facile,point1_departager,30,1088,4271.66,150,4270.47
1_points_insertion,Sokoban,microban/niveau1_facile,point2_heuristique_lot,30,1088,6649.423,150,6649.326
1_points_insertion,Sokoban,microban/niveau1_facile,point3_elaguer,30,1088,4225.482,150,4225.342
1_points_insertion,Sokoban,microban/niveau2_moyen,baseline,66,1761,0.063,0,0.0
1_points_insertion,Sokoban,microban/niveau2_moyen,point1_departager,66,1761,4176.094,150,4175.124
1_points_insertion,Sokoban,microban/niveau2_moyen,point2_heuristique_lot,66,1761,6658.015,150,6657.85
1_points_insertion,Sokoban,microban/niveau2_moyen,point3_elaguer,66,1761,4218.255,150,4218.045
1_points_insertion,Sokoban,microban/niveau3_difficile,baseline,81,13428,0.561,0,0.0
1_points_insertion,Sokoban,microban/niveau3_difficile,point1_departager,81,13428,4291.756,150,4215.536
1_points_insertion,Sokoban,microban/niveau3_difficile,point2_heuristique_lot,81,13428,6526.788,150,6525.859
1_points_insertion,Sokoban,microban/niveau3_difficile,point3_elaguer,81,13428,4046.128,150,4044.217
1_points_insertion,Sokoban,microban/niveau4_tres_difficile,baseline,89,56240,2.533,0,0.0
1_points_insertion,Sokoban,microban/niveau4_tres_difficile,point1_departager,89,56240,5499.591,150,4308.022
1_points_insertion,Sokoban,microban/niveau4_tres_difficile,point2_heuristique_lot,89,56240,6708.385,150,6701.387
1_points_insertion,Sokoban,microban/niveau4_tres_difficile,point3_elaguer,89,56240,4526.888,150,4521.266
1_points_insertion,Sokoban,original/niveau1,baseline,,250000,8.54,0,0.0
